,COUNTRY,REGION,CATEGORY,MEASURE,COMMENTS,SOURCE,ENTRY_DATE,ISO_ALP_2
190,Barbados,Americas,Public health measures,introduction of isolation and quarantine policies,"Anyone who has been in Italy, South Korea, China, or Iran in the last 14 days will be made to quarantine ",uk government travel advice,2020-03-15,BB
191,Barbados,Americas,Public health measures,health screenings in airports and border crossings,Unknown,us embassy ,2020-03-15,BB
192,Canada,Americas,Movement restrictions,Border closure,"All non-essential travel outside of Canada, cruise ships unable to dock in country until 1 July",government of canada,2020-03-15,CA
193,Canada,Americas,Social distancing,limit public gatherings,"British Columbia, Alberta and Quebec have all banned events larger than 250 people. New Brunswick and Nova Scotia limiting 150. ",the guardian,2020-03-15,CA
194,Canada,Americas,Public health measures,introduction of isolation and quarantine policies,14  day quarantine for those with symptoms or those returning from cruise ships. Elderly (those over 70) told to stay home,government of canada,2020-03-15,CA
195,Senegal,Africa,Social distancing,limit public gatherings,Public gatherings limited for at least one month,ministre de la sant et de l'action sociale,2020-03-15,SN
196,Senegal,Africa,Public health measures,awareness campaigns,Calls on religious authorities to support the Government with the adopted measures,ministre de la sant et de l'action sociale,2020-03-15,SN
197,Thailand,Asia,Public health measures,health screenings in airports and border crossings,"Anyone who has been in Italy, South Korea, China, or Iran in the last 14 days will be made to quarantine ",unknown,2020-03-15,TH
198,Canada,Americas,Public health measures,strengthening the public health system,provinces and territories with critical health care systems will be given 500 million ,government of canada,2020-03-15,CA
199,China,Asia,Public health measures,psychological assistance and medical social work,"Patients, health personnel and people in quarantine",ministry of health,2020-03-15,CN
200,Canada,Americas,Public health measures,health screenings in airports and border crossings,Unknown,us embassy ,2020-03-15,CA
201,New Zealand,Pacific,Public health measures,introduction of isolation and quarantine policies,All new arrivals from other countries must self-quarantine for 14 days (except for those arriving from selected Pacific countries).,ministry of health,2020-03-15,NZ
202,Congo,Africa,Public health measures,health screenings in airports and border crossings,"Health screenings at airports for COVID-19 symptoms, travelers with symptoms have to quarantine for 14 days",us embassy,2020-03-15,CG
203,Congo,Africa,Public health measures,introduction of isolation and quarantine policies,"14day quarantine for high risk countries including mainland China, South Korea, Iran, Italy. Also for travelers with COVID-19 symptoms.",french embassy,2020-03-15,CG
204,New Zealand,Pacific,Movement restrictions,visa restrictions,Non-residents of New Zealand who have been to China or Iran in the last 14 days will not be allowed to enter the country ,iata,2020-03-15,NZ
205,Canada,Americas,Movement restrictions,international flights suspension,Restricted arrival from other countries into specific airports,unknown,2020-03-15,CA
206,United Kingdom,Europe,Governance and socio-economic measures,economic measures,A Covid-19 fund aimed at supporting the economy (small business etc),united kingdom ,2020-03-15,GB
207,United Kingdom,Europe,Public health measures,strengthening the public health system,5 billion provided to the NHS to ensure staffing levels,united kingdom ,2020-03-15,GB
208,United Kingdom,Europe,Public health measures,introduction of isolation and quarantine policies,7 day self-quarantine for those with cough or fever.,united kingdom ,2020-03-15,GB
209,Bangladesh,Asia,Movement restrictions,international flights suspension,"Restrictions on flights arriving from Europe, excepting the UK",uk government travel advice,2020-03-15,BD
210,Comoros,Africa,Movement restrictions,international flights suspension,"Fligts from China, Italy, South Korea, or Iran",us embassy,2020-03-15,KM
211,Madagascar,Africa,Movement restrictions,international flights suspension,"Fligts from China, Italy, South Korea, or Iran",us embassy,2020-03-15,MG
212,Bangladesh,Asia,Movement restrictions,visa restrictions,Suspension of all visas on arrival,uk government travel advice,2020-03-15,BD
213,Cte d'Ivoire,Africa,Public health measures,introduction of isolation and quarantine policies,"quarantine of 14 days for travelers from risk countries (China, South Korea, Iran, Italy)",french embassy,2020-03-15,Cte d'Ivoire
214,Madagascar,Africa,Public health measures,introduction of isolation and quarantine policies,International passengers with symptoms,us embassy,2020-03-15,MG
215,Comoros,Africa,Public health measures,introduction of isolation and quarantine policies,International passengers with symptoms,us embassy,2020-03-15,KM
216,Cyprus,Europe,Movement restrictions,Border closure,All non cypriots or non cyprtiots who have a residence permit,government,2020-03-15,CY
217,Nepal,Asia,Public health measures,general recommendations,Avoid public gatherings including observing major festivals,district administration office kathmandu,2020-03-15,NP
218,Cyprus,Europe,Social distancing,Schools closure,Unknown,government,2020-03-15,CY
219,Cyprus,Europe,Governance and socio-economic measures,economic measures,"Families, small business and vulnerable populations",government,2020-03-15,CY
220,Cyprus,Europe,Movement restrictions,additional health/documents requirements upon arrival,International passengers,government ,2020-03-15,CY
221,Cyprus,Europe,Public health measures,introduction of isolation and quarantine policies,International passengers,government,2020-03-15,CY
222,Cyprus,Europe,Social distancing,limit public gatherings,Unknown,government,2020-03-15,CY
223,Cyprus,Europe,Public health measures,awareness campaigns,Unknown,government,2020-03-15,CY
224,Dominica,Americas,Movement restrictions,international flights suspension,China,us embassy,2020-03-15,DM
225,Nepal,Asia,Public health measures,introduction of isolation and quarantine policies,All arrivals into Nepal 14 day self-quarantine,us state department,2020-03-15,NP
226,Antigua and Barbuda,Americas,Movement restrictions,visa restrictions,"    Passengers and airline crew who have been in China, Iran, Italy, Japan, Korea, or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. Nationals and resident diplomats of Antigua and Barbuda who have been in China, Iran, Italy, Japan, Korea, or Singapore in the past 28 days are allowed entry. Airlines must provide their advance passenger information before departure. ",us embassy,2020-03-15,AG
227,United States of America,Americas,Movement restrictions,visa restrictions,"Non-residents and non-citizens of the US who have travelled in the last 14 days to: China, Iran, Austria, Belgium, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden or in Switzerland, and the UK",us government ,2020-03-15,US
228,United States of America,Americas,Public health measures,health screenings in airports and border crossings,Screenings are being undertaken at selected airports ,us government ,2020-03-15,US
229,United States of America,Americas,Governance and socio-economic measures,state of emergency declared,declaration of national emergency,us state department,2020-03-15,US
230,United States of America,Americas,Governance and socio-economic measures,economic measures,Plans to support small business and ensure workers can take time off,unknown,2020-03-15,US
231,Mali,Africa,Public health measures,health screenings in airports and border crossings,all travelers (arriving either by land or air) have to undergo temperature measurments,ministry of health,2020-03-15,ML
232,Mali,Africa,Public health measures,introduction of isolation and quarantine policies,travelers with minor symptoms from countries with more than 500 cases of COVID-19 have to self-isolate for 14 days; travelers with major symptoms from severly affected countries have to remain at an isolation site for testing an quarantine,ministry of health,2020-03-15,ML
233,Mali,Africa,Social distancing,limit public gatherings,"large public gatherings are required to be avoided including the suspension of conferences, festivals etc.",ministry of health,2020-03-15,ML
234,Grenada,Americas,Public health measures,health screenings in airports and border crossings,Unknown,us embassy,2020-03-15,GD
235,Grenada,Americas,Public health measures,introduction of isolation and quarantine policies,Unknown,us embassy,2020-03-15,GD
236,Saint Lucia,Americas,Public health measures,introduction of isolation and quarantine policies,"any foreigners who have been in mainland China, Hong Kong, South Korea, Japan, Singapore and Italy during the past 14 day",us embassy,2020-03-15,LC
237,Saint Lucia,Americas,Movement restrictions,visa restrictions,"any foreigners who have been in mainland China, Hong Kong, South Korea, Japan, Singapore and Italy during the past 14 day",us embassy,2020-03-15,LC
238,Saint Vincent and the Grenadines,Americas,Public health measures,introduction of isolation and quarantine policies,"traveled from or through China, Italy, Japan, Hong Kong, Macau, Singapore, or South Korea in the past 14 days",us embassy,2020-03-15,VC
239,Italy,Europe,Social distancing,Public services closure,Closure of all public services and places with close contact nationally ,government,2020-03-15,IT
240,Italy,Europe,Governance and socio-economic measures,state of emergency declared,State of Emergency declared on the risks associated with the onset of diseases caused by transmissible viral agents,government,2020-03-15,IT
241,Italy,Europe,Movement restrictions,international flights suspension,Limited flights to and from China ,forbes,2020-03-15,IT
242,Italy,Europe,Lockdown,partial lockdown,Northern Italian regions (NUTS2) officially locked down,government,2020-03-15,IT
